UCM,DPE-DAA,57%,17%,100%,44%,46%,0%,0%,33%,0%,32%
Digital Help - Forums,DPE-DHX,71%,0%,50%,75%,8%,0%,33%,0%,33%,29%
Project Fractal,DCP-Building Infrastructure Design,29%,67%,75%,25%,15%,50%,0%,33%,50%,29%
Contact Center,DPE-DES,57%,0%,50%,100%,38%,25%,0%,0%,17%,27%
Customer Connect,DPE-DES,0%,33%,100%,56%,0%,50%,0%,0%,67%,27%
ATF Transcoder Service,MCP-Cloud Platform,0%,50%,25%,50%,15%,75%,0%,0%,83%,26%
Helius PFA,MCP-Manufacturing,14%,0%,0%,100%,54%,0%,13%,0%,33%,26%
Dynamo Studio (Customizer),DCP-Building Infrastructure Design,29%,33%,50%,75%,23%,25%,0%,0%,33%,24%
Pre-Registration,DPE-DES,86%,0%,0%,75%,38%,0%,0%,33%,0%,24%
PWS (Apigee Dev Portal),DPE-SPG,29%,17%,0%,50%,31%,25%,13%,0%,33%,23%
TIBCO,DPE-DES,71%,0%,0%,25%,46%,0%,0%,67%,0%,23%
Dynamo Reach,DCP-Building Infrastructure Design,14%,17%,50%,75%,31%,25%,0%,0%,17%,21%
Oracle Watchlist Service,DPE-DES,71%,0%,0%,100%,23%,0%,0%,33%,0%,21%
test,MCP-Other,0%,0%,0%,0%,92%,0%,0%,0%,0%,19%
GuiXT,DPE-DES,43%,0%,0%,100%,31%,0%,0%,0%,0%,18%
Character Generator,DCP-Entertainment Creation Products,14%,33%,0%,11%,15%,25%,10%,0%,33%,16%
Trinity,DPE-DES,43%,0%,0%,100%,23%,0%,0%,0%,0%,16%
WordPress MultiSite Platform,DPE-DEC,14%,0%,50%,75%,8%,25%,7%,0%,17%,16%
Business Objects,DPE-DBP,57%,67%,0%,25%,0%,0%,0%,0%,0%,15%
Digital Help - Expert Elite Mgmt System,DPE-DHX,43%,0%,0%,100%,0%,0%,0%,0%,17%,13%
Digital Help - Welcome Email,DPE-DHX,43%,0%,0%,75%,15%,0%,0%,0%,0%,13%
IBM Sterling Connect:Direct,DPE-DES,43%,0%,0%,100%,0%,0%,0%,0%,0%,11%
Roundhouse,DPE-DES,57%,0%,0%,0%,0%,0%,0%,0%,0%,6%
Data Federator,DPE-DES,14%,0%,0%,0%,0%,0%,0%,0%,0%,2%
